title,today,total
Gurgaon,5841,3907441
Faridabad,5543,2780208
Karnal,1822,1611141
Ambala,608,1600398
Sonipat,3101,1568156
Hisar,1222,1461115
Panipat,6087,1291342
Yamunanagar,931,1269334
Bhiwani,2898,1250224
Sirsa,738,1226334
Rohtak,1318,1111527
Jhajjar,849,1106164
Jind,2035,1088317
Rewari,4221,1074178
Palwal,1892,990263
Kaithal,1258,987301
Kurukshetra,806,952911
Mahendragarh,1271,947218
Fatehabad,93,844326
Panchkula,561,806638
Nuh,2200,728473
Charkhi Dadri,1215,678602
