label,vac_18_45,vac_45_60,vac_60_above,total
07:00-08:00,15,5,6,26
08:00-09:00,58,10,6,74
09:00-10:00,455,109,60,624
10:00-11:00,3959,670,271,4900
11:00-12:00,7507,1395,628,9530
12:00-13:00,9128,1689,745,11562
13:00-14:00,7685,1364,608,9657
14:00-15:00,4420,840,409,5669
15:00-16:00,2431,415,179,3025
16:00-17:00,1087,236,119,1442
