label,vac_18_45,vac_45_60,vac_60_above,total
07:00-08:00,5,1,0,6
08:00-09:00,5,1,1,7
09:00-10:00,214,46,32,292
10:00-11:00,1458,379,182,2019
11:00-12:00,2225,603,319,3147
12:00-13:00,2386,612,300,3298
13:00-14:00,2000,484,182,2666
