title,today,total
Ludhiana,298,3688356
Jalandhar,270,2328243
Amritsar,662,2012572
Hoshiarpur,1331,1705037
Patiala,1211,1553104
Gurdaspur,123,1513498
SAS Nagar,2254,1358767
Sangrur,442,1054278
Bathinda,397,906572
Tarn Taran,74,862722
Moga,61,805445
Kapurthala,729,741046
Fazilka,656,721627
Pathankot,593,687680
Ferozpur,340,666767
Sri Muktsar Sahib,622,653002
SBS Nagar,29,627090
Rup Nagar,643,619228
Fatehgarh Sahib,524,524215
Mansa,181,520365
Faridkot,8,507033
Barnala,0,496683
