vaccine_date,aefi
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,2
2021-11-12,0
2021-11-13,4
2021-11-14,0
2021-11-15,1
2021-11-16,1
2021-11-17,1
2021-11-18,1
2021-11-19,0
2021-11-20,1
2021-11-21,0
2021-11-22,1
2021-11-23,0
2021-11-24,1
2021-11-25,3
2021-11-26,2
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,3
2021-12-03,2
2021-12-04,0
